INDID,CLASSID,CLASSDESC
12,A,Standard Cheese
12,B,Standard Cheese Product
12,C,Non-Standard Cheese Product
12,D,Soft Cheese Made From Cow Milk
12,F,Soft Cheese Made From Sheep/Ewe Milk
12,G,Soft Cheese Made From Goat Milk
12,Y,"Cheese And Cheese Products, N.E.C."
