INDID,CLASSID,CLASSDESC
18,A,Red Meat-Like Prod
18,B,Poultry-Like Prod
18,C,Comb Meat-Like Veg Protein Prod
18,D,Fish/Shellfish-Like Veg Protein Prod
18,E,Veg Protein Meat Extenders
18,Y,"Vegetable Protein Products, N.E.C."
